2024-04-14 16:49:39.273 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 16:49:39.278 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 19:01:46.578 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 19:01:46.581 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 19:02:11.160 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 19:02:11.163 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-15 09:24:13.110 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-15 09:24:13.112 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-15 09:27:34.029 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-15 09:27:34.032 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-15 12:32:44.800 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-15 12:32:44.802 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-15 13:14:52.443 [info] Removed views:workbench.view.testing from workbench.view.extension.test
